"feature","correlation","mutual_info","vif"
"f.idw",0.593689943477496,0.340708860282246,1.54257208750158
"f.sda.0",0.407206002734033,0.211697462885703,1.20247597663254
"f.sda.0.1",0.539678888209344,0.252907067609194,1.41576794388517
"f.sda.0.2",0.574798222242912,0.269702887309475,1.49548191454264
"f.sda.0.3",0.597599090280804,0.28916340039616,1.55802360060453
"f.sda.0.4",0.599653153617034,0.306354200200721,1.56417650534531
"f.sda.0.5",0.588068088177786,0.3039083889137,1.5319613058276
"f.sda.0.6",0.569997290886714,0.299044852015713,1.48517366853423
"f.sda.0.7",0.563683801735198,0.301359061267978,1.47014931709645
"f.sda.0.8",0.534632124745946,0.295821191447541,1.40384389605275
"f.sda.0.9",0.495102817695285,0.26717188314605,1.32684809822928
"f.sda.1",0.436627562904024,0.240602086967777,1.23401558346735
"f.gos",0.536288943798154,0.303188664755164,1.4037172731787
