"element","k","model","R2","MAE","RMSE"
"Cu",2,"hier_lm",0.407982498411025,0.662133639666006,0.878250349644121
"Cu",2,"hier_rf",0.491233099898423,0.602581701380134,0.81416135227592
"Cu",2,"hier_rpart",0.317829555948421,0.723848723811336,0.942752098981182
"Cu",2,"hier_svmRadial",0.457865538785037,0.626874496596135,0.840435842450984
"Cu",3,"hier_lm",0.407982498411025,0.662133639666006,0.878250349644121
"Cu",3,"hier_rf",0.494247532070162,0.607451625397792,0.811745825339436
"Cu",3,"hier_rpart",0.338719640101937,0.699438470458208,0.928204929670604
"Cu",3,"hier_svmRadial",0.45367561243126,0.629345714852685,0.843677276929542
"Cu",4,"hier_lm",0.462751667763893,0.644141360767011,0.836639946018618
"Cu",4,"hier_rf",0.522997896637871,0.591386208832365,0.788335720609704
"Cu",4,"hier_rpart",0.337586596336617,0.713109007127522,0.928999786709366
"Cu",4,"hier_svmRadial",0.46670051943123,0.633368026037153,0.833559563958553
"Cu",5,"hier_lm",0.462751667763893,0.644141360767011,0.836639946018618
"Cu",5,"hier_rf",0.520228226704131,0.5878961000478,0.79062110826714
"Cu",5,"hier_rpart",0.363506898168287,0.704752391798723,0.91064248733796
"Cu",5,"hier_svmRadial",0.464892028084266,0.633494949727288,0.834971724905441
"Cu",6,"hier_lm",0.471191809850435,0.638920575998595,0.83004214664204
"Cu",6,"hier_rf",0.513465770420631,0.599021317463536,0.796173573543474
"Cu",6,"hier_rpart",0.342599203091523,0.714612375392784,0.925478153827424
"Cu",6,"hier_svmRadial",0.460631645005335,0.628496811384419,0.838289043167289
"Cu",7,"hier_lm",0.471191809850435,0.638920575998595,0.83004214664204
"Cu",7,"hier_rf",0.507040162570384,0.599339230886242,0.801413819957241
"Cu",7,"hier_rpart",0.341142503268632,0.710308233852775,0.926502945609794
"Cu",7,"hier_svmRadial",0.46108103240687,0.629971708909296,0.837939750303131
"Cu",8,"hier_lm",0.508941735536557,0.621701185568538,0.799866615477877
"Cu",8,"hier_rf",0.533487693351256,0.576327492495232,0.779619352275725
"Cu",8,"hier_rpart",0.431342348173158,0.669049233859279,0.860748951094561
"Cu",8,"hier_svmRadial",0.477182991298887,0.621931713389826,0.825326732915408
"Cu",9,"hier_lm",0.508941735536557,0.621701185568538,0.799866615477877
"Cu",9,"hier_rf",0.534032492828627,0.579308251576457,0.779163994201277
"Cu",9,"hier_rpart",0.43360530946231,0.671512202547969,0.859034577548453
"Cu",9,"hier_svmRadial",0.466630629331019,0.6257130730012,0.833614182099962
"Cu",10,"hier_lm",0.497165021820027,0.628681303520584,0.809401115668744
"Cu",10,"hier_rf",0.52853179159475,0.576217189733004,0.783749478800519
"Cu",10,"hier_rpart",0.431900122113341,0.659126284455953,0.86032671012162
"Cu",10,"hier_svmRadial",0.48207329806254,0.618174406576851,0.82145770855178
