"k","model","overall_R2","overall_MAE","overall_RMSE","R2_sd","RMSE_sd","min_R2","max_R2"
2,"STK",0.326234107880879,0.723818651442865,0.936926600922314,0.127713632789724,0.17761272329302,0.0454193910374883,0.226033742628653
3,"STK",0.326234107880879,0.723818651442865,0.936926600922314,0.127713632789724,0.17761272329302,0.0454193910374883,0.226033742628653
4,"STK",0.379735101069155,0.679560131918306,0.898958536723935,0.242868425064904,0.126108253564761,-0.285738559754871,0.377101909382461
5,"STK",0.379735101069155,0.679560131918306,0.898958536723935,0.242868425064904,0.126108253564761,-0.285738559754871,0.377101909382461
6,"STK",0.373954671035894,0.684935415958725,0.903137651488866,0.195361967804634,0.115538344053054,-0.285738559754871,0.296957024809386
7,"STK",0.373954671035894,0.684935415958725,0.903137651488866,0.195361967804634,0.115538344053054,-0.285738559754871,0.296957024809386
8,"STK",0.401138271957739,0.661073190977925,0.883312422179105,0.320542832039138,0.160482055940854,-0.776872346565858,0.296957024809386
9,"STK",0.401138271957739,0.661073190977925,0.883312422179105,0.320542832039138,0.160482055940854,-0.776872346565858,0.296957024809386
10,"STK",0.399543495740038,0.663829610280206,0.88448777617786,0.319707866561112,0.216832282127504,-0.776872346565858,0.296957024809386
