"k","model","region","region_R2","region_MAE","region_RMSE","n_points"
2,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
2,"STK","3.65924241468847",0.214293806904032,0.590833777463245,0.789820499495094,139
3,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
3,"STK","3.34504493034283",0.395618917086278,0.498762169157036,0.64194200709342,57
3,"STK","3.86774655567625",0.0701792489397185,0.647180578133299,0.85640436768028,82
4,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
4,"STK","3.86774655567625",0.0701792489397185,0.647180578133299,0.85640436768028,82
4,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
4,"STK","3.61329805999761",0.404024248523311,0.478733784513257,0.610753966639187,36
5,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
5,"STK","3.86774655567625",0.0701792489397185,0.647180578133299,0.85640436768028,82
5,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
5,"STK","3.61329805999761",0.404024248523311,0.478733784513257,0.610753966639187,36
6,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
6,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
6,"STK","3.61329805999761",0.404024248523311,0.478733784513257,0.610753966639187,36
6,"STK","3.2851662061959",-0.127159140822622,0.431403409116703,0.546260614409452,8
6,"STK","3.34343752803238",-0.0450025873000757,0.88500145315512,1.05129227666619,5
6,"STK","4.03165291288153",-0.0180817956240951,0.676274122400885,0.894003420706158,69
7,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
7,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
7,"STK","3.61329805999761",0.404024248523311,0.478733784513257,0.610753966639187,36
7,"STK","3.2851662061959",-0.127159140822622,0.431403409116703,0.546260614409452,8
7,"STK","3.34343752803238",-0.0450025873000757,0.88500145315512,1.05129227666619,5
7,"STK","4.03165291288153",-0.0180817956240951,0.676274122400885,0.894003420706158,69
8,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
8,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
8,"STK","3.2851662061959",-0.127159140822622,0.431403409116703,0.546260614409452,8
8,"STK","3.34343752803238",-0.0450025873000757,0.88500145315512,1.05129227666619,5
8,"STK","4.03165291288153",-0.0180817956240951,0.676274122400885,0.894003420706158,69
8,"STK","3.04927636601116",-0.0562154849362375,0.248019030625613,0.25153201685908,3
8,"STK","3.40462502193815",0.268329590165587,0.563696396138799,0.72656694164499,23
8,"STK","4.18857299903097",0.0198915010731142,0.430986376119836,0.544234200134658,10
9,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
9,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
9,"STK","3.2851662061959",-0.127159140822622,0.431403409116703,0.546260614409452,8
9,"STK","3.34343752803238",-0.0450025873000757,0.88500145315512,1.05129227666619,5
9,"STK","4.03165291288153",-0.0180817956240951,0.676274122400885,0.894003420706158,69
9,"STK","3.04927636601116",-0.0562154849362375,0.248019030625613,0.25153201685908,3
9,"STK","4.18857299903097",0.0198915010731142,0.430986376119836,0.544234200134658,10
9,"STK","2.89503743494512",-0.293026564840348,0.568394420934247,0.685398708557561,9
9,"STK","3.63110839393506",0.410750860714335,0.521278508422421,0.717116467984421,14
10,"STK","2.95724315929011",0.0655301742427817,0.36832985471206,0.487181133987481,53
10,"STK","2.89464461388542",0.00852625950857633,0.530071348635456,0.67039688624772,21
10,"STK","3.2851662061959",-0.127159140822622,0.431403409116703,0.546260614409452,8
10,"STK","3.34343752803238",-0.0450025873000757,0.88500145315512,1.05129227666619,5
10,"STK","3.04927636601116",-0.0562154849362375,0.248019030625613,0.25153201685908,3
10,"STK","4.18857299903097",0.0198915010731142,0.430986376119836,0.544234200134658,10
10,"STK","2.89503743494512",-0.293026564840348,0.568394420934247,0.685398708557561,9
10,"STK","3.63110839393506",0.410750860714335,0.521278508422421,0.717116467984421,14
10,"STK","3.77325339031652",0.116042010767041,0.762381334373224,0.885698593755088,25
10,"STK","4.16085267416404",0.0520829735495755,0.539754607151337,0.828081052339665,44
