"Element","Variable","VIF","LM_P_Value","LM_Coefficient","RF_Importance_IncMSE","Significant_LM"
"Cu","Dlith",2.1786,0,-0.0449,37.807,"Yes"
"Cu","Dfault",3.7763,0.0032,-0.014,30.6721,"Yes"
"Cu","Slope",1.7022,0.062,-0.4954,13.5825,"No"
"Cu","Water",1.2657,0.6238,0.0172,12.12,"No"
"Cu","NDVI",1.4673,0,-7.7996,26.9241,"Yes"
"Cu","MainRd",2.3827,0,0.0196,18.0197,"Yes"
"Cu","Road",1.8844,0.1679,-0.0075,15.2741,"No"
"Cu","SOC",1.3618,0.0017,-2.4502,19.0419,"Yes"
"Cu","pH",1.6775,0,-1.21,21.998,"Yes"
"Pb","Dlith",1.3855,0,-0.0496,31.5798,"Yes"
"Pb","Dfault",1.0732,0,-0.0132,26.5822,"Yes"
"Pb","Slope",1.9322,0.0078,-0.5557,27.6573,"Yes"
"Pb","Water",1.2683,0.1219,-0.0413,20.073,"No"
"Pb","NDVI",1.4366,0.0066,3.2476,23.53,"Yes"
"Pb","MainRd",1.9824,0.3038,0.0023,21.3144,"No"
"Pb","Road",1.7194,3e-04,0.0139,25.1305,"Yes"
"Pb","SOC",1.3608,0,-2.759,23.0624,"Yes"
"Pb","pH",1.6478,0,0.9872,39.5218,"Yes"
"Zn","Dlith",2.3477,0,-0.0303,56.4342,"Yes"
"Zn","Dfault",2.9725,0.2348,-0.0041,30.8628,"No"
"Zn","Slope",1.6709,0.8109,0.0443,21.1055,"No"
"Zn","Water",1.2882,0.1525,-0.0361,16.1355,"No"
"Zn","NDVI",1.4625,0,-5.2399,24.1325,"Yes"
"Zn","MainRd",1.9367,0,0.0113,18.9418,"Yes"
"Zn","Road",1.8,0.0116,-0.0095,19.0973,"Yes"
"Zn","SOC",1.3906,0,-3.1043,20.8267,"Yes"
"Zn","pH",1.6497,0,-0.7478,25.271,"Yes"
