Element,model,Min,Max,Mean,Diff
Cu,FFRK_lm,0.838228286258503,0.854771277755059,0.843469237241003,0.016542991496556
Cu,FFRK_rf,0.164609016128481,0.166682871430925,0.165306627948571,0.002073855302444
Cu,FFRK_rpart,1.04435646752852,1.08205934098284,1.05625571794181,0.0377028734543217
Cu,FFRK_svmRadial,0.70507448617417,0.70507448617417,0.70507448617417,0
Cu,ok,1.31956895846738,1.38920237152454,1.34163909491511,0.0696334130571583
Cu,rk_lm,1.11023676944231,1.16900455395597,1.12934966869252,0.0587677845136572
Cu,rk_rf,0.36165290931064,0.390226714557703,0.371403393356819,0.0285738052470624
Cu,rk_rpart,1.07658299307912,1.13674322833901,1.09611787256262,0.0601602352598885
Cu,rk_svmRadial,0.944671136178064,0.997848043161897,0.962305534140716,0.0531769069838326
Cu,uk,1.26894708183388,1.35758788797905,1.28707256721871,0.0886408061451753
Pb,FFRK_lm,0.616460806992266,0.66431817529082,0.631234724526308,0.0478573682985538
Pb,FFRK_rf,0.142294412096992,0.155286248060888,0.146366283115426,0.0129918359638964
Pb,FFRK_rpart,0.733167945617305,0.782252738711989,0.748250852211167,0.0490847930946839
Pb,FFRK_svmRadial,0.472090740982167,0.504784449072091,0.482193691167754,0.0326937080899245
Pb,ok,0.827053467553189,0.858054634753967,0.836521110675336,0.0310011672007786
Pb,rk_lm,1.21492051756391,1.21492051756391,1.21492051756391,0
Pb,rk_rf,0.21926990180939,0.245623810120942,0.227623025333409,0.0263539083115523
Pb,rk_rpart,0.73873340494939,0.766780631879453,0.747539856590188,0.0280472269300636
Pb,rk_svmRadial,0.650561766676553,0.681853789457059,0.66046495904468,0.0312920227805055
Pb,uk,0.818026361167702,0.87745448915661,0.828266150136096,0.0594281279889073
Zn,FFRK_lm,0.474688286776227,0.481036527931166,0.47687508548317,0.00634824115493876
Zn,FFRK_rf,0.10464795221441,0.10464795221441,0.10464795221441,0
Zn,FFRK_rpart,0.510757063267356,0.523914705072995,0.515144902828849,0.0131576418056384
Zn,FFRK_svmRadial,0.420383972742082,0.42541799477926,0.422113353832987,0.00503402203717745
Zn,ok,0.729715671497621,0.749735251147544,0.735605469759512,0.0200195796499234
Zn,rk_lm,0.743141426689125,0.743141426689125,0.743141426689125,0
Zn,rk_rf,0.13882820651523,0.146948418316536,0.141866918069224,0.0081202118013059
Zn,rk_rpart,0.5506116724691,0.567933911015431,0.556695775634963,0.0173222385463301
Zn,rk_svmRadial,0.71484532103354,0.71484532103354,0.71484532103354,0
Zn,uk,0.728959949578054,0.758303529678785,0.732671734564384,0.0293435801007309
